gap_step,gap_mgNm3,outlet_mgNm3,count,empirical_probability,posterior_mean_probability
80,0.8,49.2,3,0.0006609385327164573,0.0007605388961321165
81,0.81,49.19,1,0.0002203128442388191,0.0003259452411994785
82,0.8200000000000001,49.18,3,0.0006609385327164573,0.0007605388961321165
83,0.8300000000000001,49.17,5,0.0011015642211940956,0.0011951325510647544
84,0.84,49.16,3,0.0006609385327164573,0.0007605388961321165
85,0.85,49.15,1,0.0002203128442388191,0.0003259452411994785
86,0.86,49.14,2,0.0004406256884776382,0.0005432420686657974
87,0.87,49.13,3,0.0006609385327164573,0.0007605388961321165
88,0.88,49.12,1,0.0002203128442388191,0.0003259452411994785
89,0.89,49.11,0,0.0,0.0001086484137331595
90,0.9,49.1,1,0.0002203128442388191,0.0003259452411994785
91,0.91,49.09,1,0.0002203128442388191,0.0003259452411994785
92,0.92,49.08,2,0.0004406256884776382,0.0005432420686657974
93,0.93,49.07,2,0.0004406256884776382,0.0005432420686657974
94,0.9400000000000001,49.06,1,0.0002203128442388191,0.0003259452411994785
95,0.9500000000000001,49.05,2,0.0004406256884776382,0.0005432420686657974
96,0.96,49.04,0,0.0,0.0001086484137331595
97,0.97,49.03,2,0.0004406256884776382,0.0005432420686657974
98,0.98,49.02,1,0.0002203128442388191,0.0003259452411994785
99,0.99,49.01,0,0.0,0.0001086484137331595
100,1.0,49.0,1,0.0002203128442388191,0.0003259452411994785
101,1.01,48.99,0,0.0,0.0001086484137331595
102,1.02,48.98,0,0.0,0.0001086484137331595
103,1.03,48.97,0,0.0,0.0001086484137331595
104,1.04,48.96,0,0.0,0.0001086484137331595
105,1.05,48.95,0,0.0,0.0001086484137331595
106,1.06,48.94,0,0.0,0.0001086484137331595
107,1.07,48.93,1,0.0002203128442388191,0.0003259452411994785
108,1.08,48.92,1,0.0002203128442388191,0.0003259452411994785
109,1.09,48.91,0,0.0,0.0001086484137331595
110,1.1,48.9,0,0.0,0.0001086484137331595
111,1.11,48.89,0,0.0,0.0001086484137331595
112,1.12,48.88,0,0.0,0.0001086484137331595
113,1.1300000000000001,48.87,0,0.0,0.0001086484137331595
114,1.1400000000000001,48.86,0,0.0,0.0001086484137331595
115,1.1500000000000001,48.85,0,0.0,0.0001086484137331595
116,1.16,48.84,1,0.0002203128442388191,0.0003259452411994785
117,1.17,48.83,0,0.0,0.0001086484137331595
118,1.18,48.82,0,0.0,0.0001086484137331595
119,1.19,48.81,0,0.0,0.0001086484137331595
120,1.2,48.8,0,0.0,0.0001086484137331595
121,1.21,48.79,0,0.0,0.0001086484137331595
122,1.22,48.78,0,0.0,0.0001086484137331595
123,1.23,48.77,0,0.0,0.0001086484137331595
124,1.24,48.76,0,0.0,0.0001086484137331595
125,1.25,48.75,0,0.0,0.0001086484137331595
126,1.26,48.74,1,0.0002203128442388191,0.0003259452411994785
