regime,label,parameter,parameter_type,direction,direct_delta_power_kW,direct_p95_reduction_mgNm3,direct_benefit_mgNm3_per_kW,constraint_direction,constraint_delta_power_kW,dust_load_relief,dust_relief_per_added_kW,dust_load_index,relative_dust_slack,dust_constraint_active,primary_action_class,primary_parameter,secondary_parameter,operational_role,operational_rank,is_primary_action,is_tied_primary,is_secondary_action
4,R5,T1_s,振打周期,缩短1%,2.1037728157853053,0.013506920195329286,0.006420332126160383,缩短1%,2.1037728157853053,0.004451693463827899,0.0021160523752495356,1.4499999999871944,8.831403041814814e-12,True,周期优先,T4_s、T3_s,U1_kV,一级：恢复尘负荷安全裕量,3,False,False,False
4,R5,T2_s,振打周期,缩短1%,2.1114641732092423,0.012782802931967652,0.006053999444631306,缩短1%,2.1114641732092423,0.004460187894802958,0.002112367309564083,1.4499999999871944,8.831403041814814e-12,True,周期优先,T4_s、T3_s,U1_kV,一级：恢复尘负荷安全裕量,4,False,False,False
4,R5,U1_kV,电压,上限处反向差分,8.497124287244333,0.5052728436460256,0.05946398176198604,,0.0,0.0,0.0,1.4499999999871944,8.831403041814814e-12,True,周期优先,T4_s、T3_s,U1_kV,二级：约束恢复后的直接减排,5,False,False,True
4,R5,U2_kV,电压,上限处反向差分,8.649572810458267,0.510071550139612,0.058970721597126796,,0.0,0.0,0.0,1.4499999999871944,8.831403041814814e-12,True,周期优先,T4_s、T3_s,U1_kV,二级：约束恢复后的直接减排,6,False,False,False
4,R5,U3_kV,电压,提高1%,4.785046845860961,0.2725385791759223,0.056956303241141024,,0.0,0.0,0.0,1.4499999999871944,8.831403041814814e-12,True,周期优先,T4_s、T3_s,U1_kV,二级：约束恢复后的直接减排,7,False,False,False
4,R5,U4_kV,电压,提高1%,5.163064051585934,0.29320295116169426,0.056788555832777504,,0.0,0.0,0.0,1.4499999999871944,8.831403041814814e-12,True,周期优先,T4_s、T3_s,U1_kV,二级：约束恢复后的直接减排,8,False,False,False
5,R6,T4_s,振打周期,缩短1%,1.2080845364969264,0.0017513986532424752,0.0014497318691960024,缩短1%,1.2080845364969264,0.0027673242765089423,0.002290671052320007,1.4500000000029545,-2.037603802160322e-12,True,周期优先,T4_s、T3_s,U1_kV,一级：恢复尘负荷安全裕量,1,True,True,False
5,R6,T3_s,振打周期,缩短1%,1.229052182864507,0.001693071916525568,0.0013775427440188808,缩短1%,1.229052182864507,0.002789412564440763,0.0022695639805460346,1.4500000000029545,-2.037603802160322e-12,True,周期优先,T4_s、T3_s,U1_kV,一级：恢复尘负荷安全裕量,2,False,True,False
5,R6,T1_s,振打周期,缩短1%,2.1217761182329014,0.012892564382005034,0.006076307613803509,缩短1%,2.1217761182329014,0.004473349560376372,0.002108304227734429,1.4500000000029545,-2.037603802160322e-12,True,周期优先,T4_s、T3_s,U1_kV,一级：恢复尘负荷安全裕量,3,False,False,False
5,R6,T2_s,振打周期,缩短1%,2.135236798629421,0.011654432087116362,0.0054581450144532825,缩短1%,2.135236798629421,0.00446991359870319,0.002093404160874506,1.4500000000029545,-2.037603802160322e-12,True,周期优先,T4_s、T3_s,U1_kV,一级：恢复尘负荷安全裕量,4,False,False,False
