extension_pct,regime,component,increment_kW,share_pct
7,5,T4,0.23505996255143297,0.2428091539246896
7,6,U1,-32.38323333002836,-28.28005760824367
7,6,U2,71.97234702781859,62.85296157440349
7,6,U3,47.788065369424054,41.73299274537399
7,6,U4,27.127615201894653,23.690362011271578
7,6,T1,-0.554150365948379,-0.4839357488777278
7,6,T2,0.6404539019031709,0.5593040403550787
7,6,T3,-0.023262215085487307,-0.02031473435677338
7,6,T4,-0.058757218834424876,-0.05131227992594834
7,7,U1,61.87102056381463,57.30175814440613
7,7,U2,16.220066855294284,15.022191965777186
7,7,U3,21.739612286181238,20.134111156144034
7,7,U4,8.123818163943488,7.523862696903321
7,7,T1,0.0681485894334577,0.06311571966993364
7,7,T2,0.19511291873933273,0.1807035535953198
7,7,T3,-0.13590593010771365,-0.1258690848551703
7,7,T4,-0.10783815174372599,-0.09987415164075598
8,0,U1,25.342477091551416,22.764878891646646
8,0,U2,1.9316703631176404,1.7351990382035762
8,0,U3,27.437144345940993,24.646496311767493
8,0,U4,56.61140493871669,50.85342575866396
8,0,T1,0.0,0.0
8,0,T2,-3.1358339555411004e-10,-2.816886445800719e-10
8,0,T3,0.0,0.0
8,0,T4,0.0,0.0
8,1,U1,53.08228391212515,48.32657942022021
8,1,U2,45.09755047717909,41.057207681581325
8,1,U3,-19.757626267999164,-17.987517202088387
8,1,U4,31.418555592906813,28.603730100286633
8,1,T1,4.6608724917664157e-14,4.243299421964373e-14
8,1,T2,-2.3354687983474347e-14,-2.126231391129022e-14
8,1,T3,2.372771553293027e-13,2.160192148214295e-13
8,1,T4,0.0,0.0
8,2,U1,47.27658893260877,45.600995475751816
8,2,U2,-2.3711014403063135,-2.2870640309114707
8,2,U3,27.037949010329157,26.07966053242904
8,2,U4,31.731030342408108,30.606408028880836
8,2,T1,-6.3760502643739975e-09,-6.150068053203786e-09
8,2,T2,-7.006406395042304e-14,-6.758082880662948e-14
8,2,T3,-4.7455431065860536e-14,-4.5773499023351524e-14
8,2,T4,-4.6276470271754975e-14,-4.4636323371471646e-14
