extension_pct,power_kW,c_mean_mgNm3,c_median_mgNm3,c_p95_mgNm3,compliance_probability,dust_load_index,feasible,regime,limit_mgNm3,global_iterations,local_success,design_confidence,voltage_upper_factor,verification_repair,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,history_power_mean_kW,saving_vs_history_pct
7,2147.5442391703423,2.85839466729678,2.6904730034085063,4.835973881851316,0.9596,0.9028978338253779,True,0,5.0,,True,0.975,1.07,False,69.76088988768001,69.68080449267178,62.66340988740236,62.274,289.9999999999997,289.0,505.9999999999996,509.99999999999983,,
7,2071.245601492567,2.84977340301734,2.7229630329839676,4.811596312660704,0.9643,1.0982096871786082,True,1,5.0,,True,0.975,1.07,False,70.19969236275656,71.9567686717856,52.525825243152894,61.285285100785416,289.99999999999994,289.0,505.999999999999,510.0,,
7,2103.6957927698522,2.1366214992265173,1.7931442264972595,4.735912462181669,0.9623,1.2570716398786692,True,2,5.0,,True,0.975,1.07,False,72.70229499552646,70.38159827143609,57.006401369199224,59.3155773348209,290.0,289.0,506.0,510.0,,
7,2131.062921819658,1.7945717608161766,1.3377488462640472,4.365715671665705,0.9748,1.4500000000002362,True,3,5.0,,True,0.975,1.07,False,73.36438538387071,71.97214161534508,55.92204148894178,59.64735592441347,285.5849924679036,284.8247949917089,505.99995363339184,504.0910606262334,,
7,2184.657545402104,2.1865025294415696,1.8208004425137339,4.84722314352112,0.9581,1.4500000000000082,True,4,5.0,,True,0.975,1.07,False,66.72354541466714,75.6839999800007,58.87796702472242,59.09492281588453,258.65513880219424,257.1783410889834,457.97641688051306,454.3951835251118,,
7,2123.5655369387196,2.800126489107913,2.626558129835626,4.682981731367475,0.9653,1.4499999999998472,True,5,5.0,,True,0.975,1.07,False,71.21144460106797,69.38042913912082,58.065193947791805,55.36927254952145,255.63379204356832,255.4182162143987,449.17575882437245,445.2200667623881,,
7,2232.5069457663312,2.8924408053318906,2.756828910596642,4.747607219280249,0.9657,1.44999999998241,True,6,5.0,,True,0.975,1.07,False,68.15844851901987,73.06217568567567,63.036274753222536,60.24465604326833,254.1235623508871,254.10306892862303,450.5195870038133,446.97622017392723,,
7,2260.8645021159577,3.023849858359708,2.9075047444262845,4.784703683903608,0.9622,1.450000000031564,True,7,5.0,,True,0.975,1.07,False,75.86299999999294,72.72002792834867,60.286260997692,55.54183082675166,249.79029320719923,249.82409165956065,440.4830571940862,434.8415334572985,,
8,2147.3318781701223,2.8616402609869103,2.69882041373688,4.8239874535633485,0.9594,0.9028978338253784,True,0,5.0,,True,0.975,1.08,False,71.97839579957179,68.67975244561,61.29203848054719,62.20331070631724,290.0,289.0,506.0,510.0,,
8,2071.2456014924137,2.84977340301939,2.722963032984475,4.81159631268027,0.9643,1.0982096871786082,True,1,5.0,,True,0.975,1.08,False,70.19969236257651,71.95676867206089,52.525825243295536,61.28528510053186,289.99999999999994,289.0,505.999999999999,510.0,,
8,2103.695792764367,2.1366214993085046,1.7931442264706936,4.735912462330297,0.9623,1.2570716398786692,True,2,5.0,,True,0.975,1.08,False,72.7022949904433,70.38159827913918,57.00640136138006,59.31557733878839,290.0,289.0,506.0,510.0,,
8,2131.062921817801,1.7945717608398375,1.3377488462996359,4.365715671741117,0.9748,1.4500000000002364,True,3,5.0,,True,0.975,1.08,False,73.36438538321424,71.9721416165326,55.92204148794954,59.64735592452367,285.5849924679066,284.8247949917165,505.9999536333868,504.0910606262086,,
8,2184.506094717401,2.188623055987599,1.8227983614075327,4.854256405869381,0.9578,1.4499999999342497,True,4,5.0,,True,0.975,1.08,False,66.96441308896149,75.83762200955212,58.69885103743792,58.78901730728727,258.1023574761457,257.9631045921699,457.52229632570777,454.18785637272646,,
8,2123.5655369387196,2.800126489107913,2.626558129835626,4.682981731367475,0.9653,1.4499999999998472,True,5,5.0,,True,0.975,1.08,False,71.21144460106797,69.38042913912082,58.065193947791805,55.36927254952145,255.63379204356832,255.4182162143987,449.17575882437245,445.2200667623881,,
8,2232.3325762379964,2.894494969952134,2.7606850473676867,4.75552561714335,0.9659,1.4499999999999098,True,6,5.0,,True,0.975,1.08,False,68.88777554382592,72.06614863220965,63.62793101494056,59.986931355416715,254.3262186490973,254.25382444857289,450.0351234546893,446.4630312539255,,
8,2260.828090759334,3.024930206860915,2.908284360181062,4.787370030113355,0.9618,1.4500000000036475,True,7,5.0,,True,0.975,1.08,False,75.96810901466269,72.72094652291894,60.22627641242951,55.45911511464364,249.86330585509236,249.91402221996117,440.1993774254229,434.66504192125973,,
9,2147.331878069654,2.8616402619647974,2.6988204428389246,4.823987505160642,0.9594,0.902897833825378,True,0,5.0,,True,0.975,1.09,False,71.97839600107869,68.67975273790707,61.29203823065079,62.20331038551308,289.9999999999999,288.9999999999999,505.99999999999994,509.99999999999994,,
9,2071.2456014922745,2.8497734030213286,2.722963032983505,4.8115963127024255,0.9643,1.0982096871786082,True,1,5.0,,True,0.975,1.09,False,70.19969236238832,71.95676867234107,52.52582524341485,61.285285100302985,289.99999999999994,289.0,505.999999999999,510.0,,
9,2103.695792762707,2.1366214993311687,1.793144226495122,4.735912462385643,0.9623,1.2570716398786692,True,2,5.0,,True,0.975,1.09,False,72.70229498843393,70.38159827638954,57.00640136264657,59.31557734313698,290.0,289.0,506.0,510.0,,
9,2131.0629218159957,1.794571760862982,1.337748846333629,4.365715671818564,0.9748,1.4500000000002362,True,3,5.0,,True,0.975,1.09,False,73.36438538257602,71.97214161767475,55.92204148691682,59.64735592470898,285.58499246790973,284.82479499172416,505.99995363338155,504.0910606261833,,
9,2184.498929331753,2.1887362462922524,1.8228257597283957,4.854962073282941,0.9578,1.4500000000021496,True,4,5.0,,True,0.975,1.09,False,66.96485209891324,75.84090164555347,58.69770365789464,58.784706068011296,258.10150696046486,257.9638961166929,457.52380476258526,454.1865067370297,,
9,2123.565536882657,2.8001264896790476,2.626558132530948,4.6829817439894414,0.9653,1.4499999999989728,True,5,5.0,,True,0.975,1.09,False,71.21144451151582,69.3804290072062,58.06519380409369,55.369272953738324,255.6337972552629,255.41820887471678,449.17573804395863,445.220093610247,,
9,2232.332576125534,2.894494971972308,2.760685051890359,4.755525616903131,0.9659,1.4499999999999098,True,6,5.0,,True,0.975,1.09,False,68.887775593838,72.0661485798794,63.62793105992874,59.98693130279683,254.32621864829548,254.253824449231,450.03512345471387,446.4630312542998,,
9,2260.828090472622,3.0249302401453444,2.9082841877906236,4.787370149235873,0.9618,1.4499999999995687,True,7,5.0,,True,0.975,1.09,False,75.96811311182063,72.72094947677981,60.22627585401533,55.45911085505476,249.86350151579836,249.9145133129382,440.19931407053724,434.66316471916736,,
10,2147.3318778569114,2.8616402663193674,2.6988204242664393,4.823987472019492,0.9594,0.9028978338253784,True,0,5.0,,True,0.975,1.1,False,71.97839584520045,68.67975248448994,61.292038425296774,62.20331063513878,289.99999999999994,288.99999999999994,505.99999999999994,509.99999999999994,,
10,2071.2456014921418,2.8497734030232533,2.7229630329812333,4.811596312727778,0.9643,1.0982096871786082,True,1,5.0,,True,0.975,1.1,False,70.19969236218478,71.95676867263735,52.52582524352015,61.285285100085225,289.99999999999994,289.0,505.999999999999,510.0,,
10,2103.6957927563753,2.136621499422323,1.7931442265161337,4.735912462584906,0.9623,1.2570716398786692,True,2,5.0,,True,0.975,1.1,False,72.70229497656481,70.38159827087577,57.006401361548455,59.31557736460048,290.0,289.0,506.0,510.0,,
10,2131.062921814186,1.794571760886319,1.337748846366747,4.365715671899638,0.9748,1.4500000000002362,True,3,5.0,,True,0.975,1.1,False,73.36438538195563,71.97214161879727,55.922041485818546,59.64735592495663,285.5849924679129,284.8247949917321,505.9999536333761,504.0910606261572,,
10,2184.498917907557,2.188728834097649,1.8228126586182571,4.854946355847928,0.9578,1.4499999999956712,True,4,5.0,,True,0.975,1.1,False,66.9651678454987,75.84146245312527,58.69773520824705,58.78405405403199,258.11630089125464,258.00668189393497,457.5984190292048,453.9491748031892,,
10,2123.565536858646,2.800126490141012,2.6265581325505494,4.682981745830844,0.9653,1.449999999998973,True,5,5.0,,True,0.975,1.1,False,71.21144450351925,69.38042900976832,58.065193788483,55.36927297444926,255.63379725487394,255.4182088750162,449.1757380440969,445.22009361035816,,
10,2232.332576125534,2.894494971972308,2.760685051890359,4.755525616903131,0.9659,1.4499999999999098,True,6,5.0,,True,0.975,1.1,False,68.887775593838,72.0661485798794,63.62793105992874,59.98693130279683,254.32621864829548,254.253824449231,450.03512345471387,446.4630312542998,,
10,2260.828090472622,3.0249302401453444,2.9082841877906236,4.787370149235873,0.9618,1.4499999999995687,True,7,5.0,,True,0.975,1.1,False,75.96811311182063,72.72094947677981,60.22627585401533,55.45911085505476,249.86350151579836,249.9145133129382,440.19931407053724,434.66316471916736,,
